pk,name,sport,league_type,college_division
70,Allegheny Mountain Collegiate Conference,5,2,3
21,America East Conference,5,2,1
198,American Association of Independent Professional Baseball,1,1,7
14,American Athletic Conference,5,2,1
71,American Collegiate Athletic Association,5,2,3
151,American Hockey League,4,1,6
114,American Midwest Conference,5,2,4
72,American Southwest Conference,5,2,3
115,Appalachian Athletic Conference,5,2,4
149,Appalachian League,1,1,6
197,Arena Football League,2,1,7
125,Association of Independent Institutions,5,2,4
22,Atlantic 10 Conference,5,2,1
7,Atlantic Coast Conference - ACC,5,2,1
159,Atlantic Collegiate League,1,2,8
23,Atlantic Sun Conference,5,2,1
15,Big 12 Conference,5,2,1
24,Big East Conference,5,2,1
25,Big Sky Conference,5,2,1
26,Big South Conference,5,2,1
11,Big Ten Conference,5,2,1
27,Big West Conference,5,2,1
162,Cal Ripken Collegiate League,1,2,8
45,California Collegiate Athletic Association,5,2,2
161,California Collegiate League,1,2,8
141,California League,1,1,6
116,California Pacific Conference,5,2,4
163,Cape Cod League,1,2,8
73,Capital Athletic Conference,5,2,3
142,Carolina League,1,1,6
117,Cascade Collegiate Conference,5,2,4
74,Centennial Conference,5,2,3
47,Central Atlantic Collegiate Conference,5,2,2
48,Central Intercollegiate Athletic Association,5,2,2
118,Chicagoland Collegiate Athletic Conference,5,2,4
75,City University of New York Athletic Conference,5,2,3
76,College Conference of Illinois and Wisconsin,5,2,3
9,Colonial Athletic Association,5,2,1
77,Colonial States Athletic Conference,5,2,3
78,Commonwealth Coast Conference,5,2,3
46,Conference Carolinas,5,2,2
10,Conference USA,5,2,1
119,Crossroads League,5,2,4
49,East Coast Conference,5,2,2
139,Eastern League,1,1,6
152,ECHL (East Coast Hockey League),4,1,6
154,Elite Ice Hockey League,4,1,6
79,Empire 8,5,2,3
168,Florida Collegiate Summer League,1,2,8
143,Florida State League,1,1,6
120,Frontier Conference,5,2,4
121,Golden State Athletic Conference,5,2,4
50,Great American Conference,5,2,2
51,Great Lakes Intercollegiate Athletic Conference,5,2,2
171,Great Lakes League,1,2,8
52,Great Lakes Valley Conference,5,2,2
53,Great Midwest Athletic Conference,5,2,2
80,Great Northeast Athletic Conference,5,2,3
54,Great Northwest Athletic Conference,5,2,2
122,Great Plains Athletic Conference,5,2,4
123,Gulf Coast Athletic Conference,5,2,4
55,Gulf South Conference,5,2,2
172,Hamptons Collegiate Baseball League,1,2,8
124,Heart of America Athletic Conference,5,2,4
81,Heartland Collegiate Athletic Conference,5,2,3
56,Heartland Conference,5,2,2
30,Horizon League,5,2,1
136,Independent Professional Mascots,5,1,7
