Mascot_ID,name,team,date_unveiled,mhof_nominated_year,mhof_inducted_date,history,student_pro,image_file,image_url,character_type,maker,variety,sub_variety,current_character,selection_process,performer_type,year_retired,website
1,Phillie Phanatic,20,04-Jul-78,,01-Jan-05,"He is a large, furry, green bi-pedal flightless bird with an extendable tongue. According to his official biography, the Phanatic is originally from the Galápagos Islands and is the Phillies' biggest fan. He performs various routines to entertain fans during baseball games at Citizens Bank Park and makes public relation and goodwill appearances for the Phillies. The Phanatic is widely acknowledged as one of the best ballpark mascots, and is arguably the most recognizable mascot in all of North American sports.",0,C:\MHOF\MLB Images\Phillie_Phanatic.jpg,,1,,7,,1,,,,
2,Mr. Met,19,14-Apr-64,,01-Jan-07,"Mr. Met is MLB's first live action mascot (April 14, 1964). He is a baseball-headed humanoid being who wears a Mets cap and uniform. He can be seen at Citi Field (and previously at Shea Stadium) during Mets home games. He also has appeared in several commercials as part of ESPN's This is SportsCenter campaign, and was selected in 2007 into the Mascot Hall of Fame. Starting in 2014, Mr. Met appeared as a sleeve patch on the Mets' blue alternate home and road jerseys.",0,C:\MHOF\MLB Images\nym_mascot.jpg,,1,,8,,1,,,,
3,Dinger,28,16-Apr-94,,,"Dinger the Dinosaur is a Purple Triceratops with rainbow colored scales and Fur.
He is about 7â€™2â€ and weighs 1 dyno-to.

Dinger hatched on April 16th 1994.  The Colorado Rockies were still building Coors Field so, they decided to dig a special cave for their new mascot.  The cave is located just under the Rock Pile in center field, very close to where Dinger's Egg was found.  Now Dinger lives at Coors Field and does a great job cheering for the Rockies, entertaining the crowd, and giving hugs and kisses to Rockies Fans young and old. 
If you look around you can find Dinger all over Colorado and the Rocky Mountains! Some of the things Dinger likes to do are: dancing, playing baseball, volunteering in the community, riding bikes, eating lots of outfield grass and peanuts, and much much more!
But, no matter where Dinger goes, he always loves returning to the home that was built for him at beautiful Coors Field.

Dinger has been the Colorado Rockies biggest fan since he first hatched from his egg at Mile High Stadium on April 16, 1994. Dinger works year-round promoting physical fitness and literacy for thousands of elementary school students in the Rocky Mountain Region. He acts out his own Dinger Story for the kids. He also makes appearances at Children's Hospital Colorado and Denver Health. He makes appearances at Rockies events including the 5K Home Run, and the Rockies Rookies Kids Fan Club. He is a purple dinosaur with a Rockies jersey on with black sneakers.",0,C:\MHOF\MLB Images\col_mascot.jpg,,1,14,9,,1,n/a,,,
4,Slider,6,01-Apr-90,,01-Jan-08,"Slider is a large, furry fuchsia-colored creature. He has a large yellow nose and shaggy yellow eyebrows.[18] He was created in 1990, inspired by the Phillie Phanatic.[19] He was best known for an injury during the 1995 American League Championship Series when he fell six feet off an outfield wall and tore knee ligaments.[citation needed] He was inducted into the Mascot Hall of Fame in 2008.",0,C:\MHOF\MLB Images\cle_mascot.jpg,,1,,7,,1,,,,
5,The Oriole Bird,1,06-Apr-79,01-Oct-19,12-Dec-19,"On April 6, 1979, The Oriole Bird hatched out of a giant egg at Memorial Stadium and became the official mascot of the Baltimore Orioles. Since then, this featherweight has entertained millions of baseball fans at Oriole Park at Camden Yards and has made thousands of special appearances throughout the Baltimore area and the United States.",0,C:\MHOF\MLB Images\bal_mascot.jpg,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimagesvc.timeincapp.com%2Fv3%2Ffan%2Fimage%3Furl%3Dhttps%253A%252F%252Fbirdswatcher.com%252Ffiles%252F2016%252F04%252Foriole-bird-mlb-toronto-blue-jays-baltimore-orioles.jpg%26c%3Dsc%26w%3D850%26h%3D560&I,1,18,10,19,1,Video and/or in-person tryout,,,
6,Wally the Green Monster,3,13-Apr-97,,,"His name is derived from the Green Monster nickname of the 37-foot (11 m) wall in left field at Fenway Park. Wally debuted in 1997 to the chagrin of many older Red Sox fans, despite his popularity with children.

According to the Red Sox promotions department, Wally was a huge Red Sox fan who, in 1947, decided to move inside the left field wall of Fenway Park, since it ""eats up"" hits that would easily be home runs at other parks. Apparently, he was very shy and lived the life of a hermit for 50 years. In 1997, on the 50th anniversary of the Green Monster being painted green, he came out of the manual scoreboard and has been interacting with players and fans ever since.[22]

When the team began to grow out their beards as a trademark during their 2013 World Series run, Wally was given a long beard as well.

In January 2016, the Red Sox unveiled a new mascot named Tessie, Wally the Green Monster's little sister.[23] Tessie is named after the song ""Tessie"", which has long been associated with the Red Sox.[24][25]",0,C:\MHOF\MLB Images\bos_mascot.jpg,,1,,7,,1,,,,
7,Clark the Cub,21,13-Jan-14,,,"On January 13, 2014, the Chicago Cubs announced that Clark, a ""young, friendly Cub"", would become the team's first official mascot in modern history. Clark was named after Clark Street, since the Cubs home field, Wrigley Field, is famously located at ""Clark and Addison"".[3]",0,C:\MHOF\MLB Images\chc_mascot.jpg,,1,,5,,1,,,,
8,Gapper,25,06-Dec-02,,,"Gapper is one of the current mascots for the Cincinnati Reds.[9] He was first introduced as the furry companion to Mr. Red, the long-time mascot in the winter of 2002 as the franchise was preparing to move to their new home, Great American Ball Park. The mascot was created by David Raymond's Raymond Entertainment Group, the founder being the man inside the Phillie Phanatic costume from 1973 to 1993. A young fan won two season tickets for submitting the winning name; he is named after the ""gap"" in the stands in the seats of Great American, which provides a view into and out of the stadium. The term ""gapper"" is also a slang phrase for a batted ball which falls into the ""gap"" between outfielders (generally a ball hit to either left-center or right-center field which rolls to the fence). According to a recent cincinnati.com poll of the Red's four mascots, he is the least popular amongst fans. He received 6% of the voting, Mr. Red received 23%, Rosie Red received 34%, and Mr. Redlegs received 47%.",0,C:\MHOF\MLB Images\cin_mascot.jpg,,1,1,7,,1,"Hire within, typically from our promo team.",,,
9,Paws,10,05-May-95,,,"Paws is a tiger who made his debut on May 5, 1995, in Tiger Stadium. He wears a Tigers hat and jersey; in previous years, Paws' jersey would have the current season's 2 digit abbreviation (i.e. '10 for 2010). However, in 2011 and 2016, Paws' number changed to 00, since the Tigers retired #11 and #16 in honor of Sparky Anderson and Hal Newhouser, respectively. His dress changes during Comerica Park theme nights such as a Santa Claus outfit during ""Christmas in July"" night, or an Elvis Presley-inspired costume for Elvis Night. He ""resides"" in Comerica Park to this day.",0,C:\MHOF\MLB Images\det_mascot.jpg,,1,,1,,1,,,,
10,Orbit,11,02-Nov-12,,,"Orbit represents a green space alien with antennae, in keeping with the Space City theme of the city of Houston. Originally serving as team mascot from 1990 until 1999, he was replaced by a new mascot, Junction Jack.

To coincide with the Astros' move to the American League West and unveiling of their new uniforms, caps, and logo, Orbit was reintroduced on November 2, 2012 to serve as the Astros' mascot once more for 2013 and beyond.",0,C:\MHOF\MLB Images\hou_mascot.jpg,,1,,7,,1,,,,
