pk,name,league,nickname,address,city,state,country,phone,stadium
1,Baltimore Orioles,1,Orioles,,Baltimore,MD,,,,,,
2,New York Yankees,1,Yankees,,NewYork,NY,,,,,,
3,Boston Red Sox,1,Red Sox,,Boston,MA,,,,,,
4,Tampa Bay Rays,1,Rays,,Tampa,FL,,,,,,
5,Toronoto Blue Jays,1,Blue Jays,,Toronto,ON,,,,,,
6,Cleveland Indians,1,Indians,,Cleveland,OH,,,,,,
7,Minnesota Twins,1,Twins,,Minneapolis,MN,,,,,,
8,Kansas City Royals,1,Royals,,Kansas City,MO,,,,,,
9,Chicago White Sox,1,White Sox,,Chicago,IL,,,,,,
10,Detroit Tigers,1,Tigers,,Detroit,MI,,,,,,
11,Houston Astros,1,Astros,,Houston,TX,,,,,,
12,Los Angeles Angels,1,Angels,,Los Angeles,CA,,,,,,
13,Seattle Mariners,1,Mariners,,Seattle,WA,,,,,,
14,Texas Rangers,1,Rangers,,Arlington,TX,,,,,,
15,Oakland Athletics,1,Athletics,,Oakland,CA,,,,,,
16,Washinton Nationals,1,Nationals,,Washington D.C.,DC,,,,,,
17,Miami Marlins,1,Marlins,,Miami,FL,,,,,,
18,Atlanta Braves,1,Braves,,Atlanta,GA,,,,,,
19,New York Mets,1,Mets,,NewYork,NY,,,,,,
20,Philadelphia Phillies,1,Phillies,,Philadelphia,PA,,,,,,
21,Chicago Cubs,1,Cubs,,Chicago,IL,,,,,,
22,Milwaukee Brewers,1,Brewers,,Milwaukee,WI,,,,,,
23,St. Louis Cardinals,1,Cardinals,,St. Louis,MO,,,,,,
24,Pittsburgh Pirates,1,Pirates,,Pittsburgh,PA,,,,,,
25,Cincinnati Reds,1,Reds,,Cincinnati,OH,,,,,,
26,Los Angeles Dodgers,1,Dodgers,,Los Angeles,CA,,,,,,
27,Arizona Diamondbacks,1,Diamondbacks,,Phoenix,AZ,,,,,,
28,Colorado Rockies,1,Rockies,,Denver,CO,,,,,,
29,San Diego Padres,1,Padres,,San Diego,CA,,,,,,
30,San Francisco Giants,1,Giants,,San Francisco,CA,,,,,,
31,Atlanta Hawks,3,,,Atlanta,GA,,,,,,
32,Boston Celtics,3,,,Boston,MA,,,,,,
33,Brooklyn Nets,3,,,Brooklyn,NY,,,,,,
34,Charlotte Hornets,3,,,Charlotte,NC,,,,,,
35,Chicago Bulls,3,,,Chicago,IL,,,,,,
36,Cleveland Cavaliers,3,,,Cleveland,OH,,,,,,
37,Dallas Mavericks,3,,,Dallas,TX,,,,,,
38,Denver Nuggets,3,,,Denver,CO,,,,,,
39,Detroit Pistons,3,,,Detroit,MI,,,,,,
40,Houston Rockets,3,,,Houston,TX,,,,,,
41,Golden State Warriors,3,,,Oakland,CA,,,,,,
42,Indiana Pacers,3,,,Indianapolis,IN,,,,,,
43,Los Angeles Clippers,3,,,Los Angeles,CA,,,,,,
44,Los Angeles Lakers,3,,,Los Angeles,CA,,,,,,
45,Memphis Grizzlies,3,,,Memphis,TN,,,,,,
46,Miami Heat,3,,,Miami,FL,,,,,,
47,Milwaukee Bucks,3,,,Milwaukee,WI,,,,,,
48,Minnesota Timberwolves,3,,,Minneapolis,MN,,,,,,
49,New Orleans Pelicans,3,,,New Orleans,LA,,,,,,
50,New York Knicks,3,,,New York,NY,,,,,,
51,Oklahoma City Thunder,3,,,Oklahoma City,OK,,,,,,
52,Orlando Magic,3,,,Orlando,FL,,,,,,
53,Philadelphia 76ers,3,,,Philadelphia,PA,,,,,,
